link_id,site_id,slope_iFLS_mean,slope_HAiFLS_mean,slope_iFLO_mean,slope_HAiFLO_mean,slope_lumped_mean,slope_HAiFLO_sd,slope_HAiFLS_sd,slope_iFLO_sd,slope_iFLS_sd,slope_lumped_sd,slope_lumped_min,slope_lumped_max,LC_1_iFLS_prop,LC_1_HAiFLS_prop,LC_1_iFLO_prop,LC_1_HAiFLO_prop,LC_1_lumped_prop,LC_2_iFLS_prop,LC_2_HAiFLS_prop,LC_2_iFLO_prop,LC_2_HAiFLO_prop,LC_2_lumped_prop,LC_3_iFLS_prop,LC_3_HAiFLS_prop,LC_3_iFLO_prop,LC_3_HAiFLO_prop,LC_3_lumped_prop,LC_4_iFLS_prop,LC_4_HAiFLS_prop,LC_4_iFLO_prop,LC_4_HAiFLO_prop,LC_4_lumped_prop,LC_5_iFLS_prop,LC_5_HAiFLS_prop,LC_5_iFLO_prop,LC_5_HAiFLO_prop,LC_5_lumped_prop,LC_6_iFLS_prop,LC_6_HAiFLS_prop,LC_6_iFLO_prop,LC_6_HAiFLO_prop,LC_6_lumped_prop,LC_7_iFLS_prop,LC_7_HAiFLS_prop,LC_7_iFLO_prop,LC_7_HAiFLO_prop,LC_7_lumped_prop,GEO_NAME_CZam_iFLS_prop,GEO_NAME_CZam_HAiFLS_prop,GEO_NAME_CZam_iFLO_prop,GEO_NAME_CZam_HAiFLO_prop,GEO_NAME_CZam_lumped_prop,GEO_NAME_CZbg_iFLS_prop,GEO_NAME_CZbg_HAiFLS_prop,GEO_NAME_CZbg_iFLO_prop,GEO_NAME_CZbg_HAiFLO_prop,GEO_NAME_CZbg_lumped_prop,GEO_NAME_CZfg_iFLS_prop,GEO_NAME_CZfg_HAiFLS_prop,GEO_NAME_CZfg_iFLO_prop,GEO_NAME_CZfg_HAiFLO_prop,GEO_NAME_CZfg_lumped_prop,GEO_NAME_CZg_iFLS_prop,GEO_NAME_CZg_HAiFLS_prop,GEO_NAME_CZg_iFLO_prop,GEO_NAME_CZg_HAiFLO_prop,GEO_NAME_CZg_lumped_prop,GEO_NAME_CZig_iFLS_prop,GEO_NAME_CZig_HAiFLS_prop,GEO_NAME_CZig_iFLO_prop,GEO_NAME_CZig_HAiFLO_prop,GEO_NAME_CZig_lumped_prop,GEO_NAME_CZlg_iFLS_prop,GEO_NAME_CZlg_HAiFLS_prop,GEO_NAME_CZlg_iFLO_prop,GEO_NAME_CZlg_HAiFLO_prop,GEO_NAME_CZlg_lumped_prop,GEO_NAME_CZve_iFLS_prop,GEO_NAME_CZve_HAiFLS_prop,GEO_NAME_CZve_iFLO_prop,GEO_NAME_CZve_HAiFLO_prop,GEO_NAME_CZve_lumped_prop,GEO_NAME_Km_iFLS_prop,GEO_NAME_Km_HAiFLS_prop,GEO_NAME_Km_iFLO_prop,GEO_NAME_Km_HAiFLO_prop,GEO_NAME_Km_lumped_prop,pontsrc_pontsrc_iFLS_prop,pontsrc_pontsrc_HAiFLS_prop,pontsrc_pontsrc_iFLO_prop,pontsrc_pontsrc_HAiFLO_prop,pontsrc_pontsrc_lumped_prop
11,,4.65556614959702,4.35018501989477,4.65556614959702,3.40254692100501,4.58436533775471,3.3410474530066,3.60998533182732,1.86060206508332,1.86060206508332,1.73802944265458,0.728120744228363,9.42808246612549,0.538662773472859,0.635539449472573,0.538662773472859,0.388341939695204,0.539033457249071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461337226527141,0.364460550527427,0.461337226527141,0.611658060304796,0.460966542750929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,,4.10138687418256,3.68110550347756,4.19579088425537,2.65530830493002,4.01382451399264,2.97385640751187,3.32294974433648,3.39184633992877,2.04961604601007,1.92804332973526,0.0764802247285843,11.9803581237793,0.526770519831015,0.504209945549959,0.5247208022923,0.727926682705139,0.51929012345679,0,0,0,0,0,0.0355868437267892,0.0430423215928443,0.0262788060570273,0.00303460946288278,0.0385802469135802,0.0363412237335963,0.0190586930598325,0.027009479605581,0.00133208812609626,0.0397376543209877,0.39610863045184,0.41018142992188,0.418309004066662,0.266120315954628,0.397376543209877,0.00519278225675976,0.0235076098754845,0.00368190797842915,0.00158630375125424,0.00501543209876543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755105724428253,0.738888921106907,0.689138790374441,0.425469422652657,0.750385802469136,0,0,0,0,0,0,0,0,0,0,0.244894275571747,0.261111078893094,0.310861209625559,0.574530577347344,0.249614197530864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,,3.91247486535486,3.756245993703,3.91247486535486,3.21127605568232,3.84302006283049,3.17876226182566,3.21314594913379,1.62322774815564,1.62322774815564,1.53376300224655,0.0974499881267548,8.01235675811768,0.306304010249239,0.455994695064614,0.306304010249239,0.263360886084339,0.299435028248588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693695989750761,0.544005304935386,0.693695989750761,0.736639113915661,0.700564971751413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,4.44487430901763,3.86100868811054,4.44487430901763,3.79353313304997,4.35905430873235,3.62526584917986,3.23561041384016,1.95386444930524,1.95386444930524,1.85211785244355,0.632726848125458,8.74587249755859,0.577019612041408,0.629035297736644,0.577019612041408,0.782599656808385,0.566666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422980387958592,0.370964702263356,0.422980387958592,0.217400343191615,0.433333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,3.72738321040147,3.51421313225428,3.72738321040147,3.07485900608819,3.64713180471839,3.34683742196039,3.08696403417119,1.82052112669216,1.82052112669216,1.70158557948777,0.286447882652283,9.95121669769287,0.836680933554728,0.843988838624319,0.836680933554728,0.895709133798647,0.842217484008529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163319066445272,0.156011161375681,0.163319066445272,0.104290866201353,0.157782515991471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759670386840551,0.63399333234838,0.759670386840551,0.902246343214917,0.73773987206823,0.240329613159449,0.36600666765162,0.240329613159449,0.0977536567850831,0.26226012793177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,,4.43488210949066,4.12092797239948,4.5652710030753,3.21140847965876,4.3455277134305,3.70592519248672,3.65489062315904,5.34025067895408,2.1480024237313,2.01097608651658,0.0910950601100922,12.8210439682007,0.541153724604397,0.535302787848236,0.474878273287513,0.504919589715746,0.545454545454545,0,0,0,0,0,0.00381874728127567,0.00431772034906937,0.00335558598870679,0.000333350209726383,0.00434971726837756,0,0,0,0,0,0.455027528114328,0.460379491802695,0.52176614072378,0.494747060074528,0.450195737277077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,3.06742479220014,2.71441729980544,3.06742479220014,2.79782932042575,3.0743006359081,2.7826045885768,2.30629456706824,1.3352424905797,1.3352424905797,1.22843917794761,0.881259918212891,5.59817790985107,0.111830782541758,0.0392193650038333,0.111830782541758,0.0154732721436688,0.128378378378378,0,0,0,0,0,0.719965708895613,0.859010417942876,0.719965708895613,0.860678052724012,0.70945945945946,0.110409421266113,0.0703059111373724,0.110409421266113,0.111435017537377,0.101351351351351,0.0577940872965158,0.0314643059159185,0.0577940872965158,0.0124136575949425,0.0608108108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,,3.80732002358035,3.72529594017114,3.82932953378505,2.71624784144398,3.75132039146926,2.72009043542096,3.10709510474118,2.272495601856,1.69596387026083,1.61382570356322,0.177626207470894,9.85945224761963,0,0,0,0,0,0,0,0,0,0,0.285520269944272,0.325337505271022,0.305111142767594,0.172251070145664,0.28842504743833,0.0873544747129557,0.0448536417393478,0.103045048272118,0.52879408786939,0.079696394686907,0.627125255342773,0.629808852989631,0.591843808960289,0.298954841984946,0.631878557874763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,,3.76326222549489,3.71619754070018,3.85020007780853,3.79562749107783,3.64043483673747,4.34256054949287,3.51514134472408,2.58363758312728,2.35123830403669,2.24631199345464,0.117151454091072,12.9407024383545,0.296668569222868,0.31842010706635,0.273244499419395,0.129785381487879,0.309803921568627,0,0,0,0,0,0.230539037803915,0.210321375876497,0.240680282908704,0.219561972856824,0.243137254901961,0.0673798799328081,0.10654749766151,0.0663821446107186,0.0317081415188687,0.065359477124183,0.405412513040408,0.364711019395643,0.419693073061183,0.618944504136429,0.381699346405229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,,4.07956243792147,3.91015749940604,4.13992498796924,2.10074992061095,4.01357752351606,2.4480317739892,3.46260391766065,3.75428971644502,2.03769662430733,1.95616286466845,0.0655787885189056,12.6823406219482,0.0714252163211715,0.0598310481676546,0.0573587716574997,0.00358453583968977,0.0760470242468773,0,0,0,0,0,0.0386788023584098,0.0556409144931231,0.030471837471955,0.00293795245831007,0.0400440852314475,0.0722493011997972,0.0780446695349501,0.0575610711958017,0.0348297818016628,0.0760470242468773,0.817646680120621,0.806483367804272,0.854608319674744,0.958647729900337,0.807861866274798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794955053754768,0.849425760159586,0.765911830376597,0.666814055866066,0.803453343130052,0,0,0,0,0,0.205044946245232,0.150574239840414,0.234088169623403,0.333185944133934,0.196546656869949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
